iter	CrossEntropy
0	0.4570075757
1	0.2937569628
2	0.1935763146
3	0.1369572076
4	0.1012623796
5	0.0762136239
6	0.05801591095
7	0.04737846518
8	0.03950871294
9	0.03388396797
10	0.03032972136
11	0.02709807685
12	0.02466897399
13	0.02320249775
14	0.02208199966
15	0.02079019855
16	0.01958987409
17	0.01857225912
18	0.01792156662
19	0.01719394963
20	0.01679935936
21	0.01637671278
22	0.01613392913
23	0.01594367816
24	0.01574816228
25	0.01539773895
26	0.01512741686
27	0.01491211456
28	0.01471411591
29	0.01458372058
30	0.01416239486
31	0.01402127045
32	0.01384862079
33	0.01369416249
34	0.01345799195
35	0.01321450558
36	0.0130288277
37	0.01287941908
38	0.01275034775
39	0.01252949519
40	0.01245015761
41	0.01235343041
42	0.01220559621
43	0.01210969022
44	0.01200427818
45	0.01188312986
46	0.01170561148
47	0.01156865835
48	0.01144293787
49	0.01123843861
50	0.0111668719
51	0.01106127757
52	0.01088363552
53	0.01076460072
54	0.01055486299
55	0.01043909416
56	0.0103566607
57	0.01026416322
58	0.0101037245
59	0.009998382987
60	0.009906718304
61	0.009836270771
62	0.00975291361
63	0.009694875093
64	0.009541697462
65	0.009467027902
66	0.00933367529
67	0.009158705693
68	0.009072085655
69	0.00898727867
70	0.008915440635
71	0.008730006818
72	0.008688417495
73	0.008589061123
74	0.008478248152
75	0.008409991145
76	0.008325043967
77	0.008250402717
78	0.008164480178
79	0.008062873054
80	0.007961137123
81	0.007915309546
82	0.007843042554
83	0.00769137754
84	0.007610153601
85	0.007579713181
86	0.007482511907
87	0.007416557274
88	0.007312714089
89	0.007188362941
90	0.007116235142
91	0.007013469117
92	0.006960613582
93	0.006872671747
94	0.006839911559
95	0.006785050255
96	0.006723706675
97	0.0067019702
98	0.006673108974
99	0.006646141727
100	0.006619854391
101	0.006537644612
102	0.006503927075
103	0.006452003344
104	0.006374768817
105	0.006338511857
106	0.006316151424
107	0.00624802838
108	0.00622092367
109	0.006133724273
110	0.006113821037
111	0.006003051082
112	0.005975085657
113	0.005877182581
114	0.005855365251
115	0.005765543253
116	0.005750406361
117	0.005733385991
118	0.005699606917
119	0.005682870971
120	0.00561753211
121	0.005599744111
122	0.005583581053
123	0.005536187857
124	0.005511415274
125	0.005475492946
126	0.005461244554
127	0.005433058196
128	0.005412667118
129	0.005370584529
130	0.00534664978
131	0.005325888572
132	0.005300365407
133	0.005274796437
134	0.005257123189
135	0.005237476229
136	0.005205526782
137	0.005186825008
