iter	Passed	Remaining
399	68469	102704
400	68640	102532
401	68809	102358
402	68945	102134
403	69101	101941
404	69276	101775
405	69460	101623
406	69593	101397
407	69772	101238
408	69937	101058
409	70107	100886
410	70239	100659
411	70392	100462
412	70540	100259
413	70686	100053
414	70873	99905
415	71027	99712
416	71205	99551
417	71363	99362
418	71535	99193
419	71689	99000
420	71873	98847
421	72031	98659
422	72201	98488
423	72361	98302
424	72532	98132
425	72691	97945
426	72879	97798
427	73073	97658
428	73259	97508
429	73446	97359
430	73606	97173
431	73775	97001
432	73937	96818
433	74104	96642
434	74285	96486
435	74435	96288
436	74572	96073
437	74715	95867
438	74861	95666
439	75018	95478
440	75156	95266
441	75310	95075
442	75481	94905
443	75661	94746
444	75866	94619
445	76053	94470
446	76257	94340
447	76443	94188
448	76662	94077
449	76873	93956
450	77109	93865
451	77326	93749
452	77544	93635
453	77751	93507
454	77934	93350
455	78145	93226
456	78348	93092
457	78537	92941
458	78741	92809
459	78930	92657
460	79121	92508
461	79322	92371
462	79519	92229
463	79700	92067
464	79875	91899
465	80048	91729
466	80258	91601
467	80408	91404
468	80604	91259
469	80809	91125
470	80984	90957
471	81142	90770
472	81327	90612
473	81537	90482
474	81728	90331
475	81905	90165
476	82096	90013
477	82294	89869
478	82489	89722
479	82692	89583
480	82864	89411
481	83026	89227
482	83187	89043
483	83353	88864
484	83571	88740
485	83716	88539
486	83901	88380
487	84083	88218
488	84272	88063
489	84465	87913
490	84669	87773
491	84899	87660
492	85100	87517
493	85291	87362
494	85533	87261
495	85760	87143
496	86069	87108
497	86335	87028
498	86613	86960
499	86890	86890
500	87045	86698
501	87244	86549
502	87456	86413
503	87640	86249
504	87845	86105
505	88025	85937
506	88194	85758
507	88363	85580
508	88501	85372
509	88672	85195
510	88838	85013
511	89019	84847
512	89155	84636
513	89307	84442
514	89496	84283
515	89647	84088
516	89867	83957
517	90089	83828
518	90254	83646
519	90423	83467
520	90568	83267
521	90727	83079
522	90885	82891
523	91065	82723
524	91245	82555
525	91423	82385
526	91548	82167
527	91704	81978
528	91874	81801
529	92054	81633
530	92213	81446
531	92372	81260
532	92552	81092
533	92724	80917
534	92892	80738
535	93050	80550
536	93218	80373
537	93386	80193
538	93531	79996
539	93685	79806
540	93863	79636
541	94017	79446
542	94210	79289
543	94391	79122
544	94568	78952
545	94747	78783
546	94903	78594
547	95071	78416
548	95222	78224
549	95364	78025
550	95537	77851
551	95747	77708
552	95937	77548
553	96133	77393
554	96327	77235
555	96517	77075
556	96747	76946
557	96940	76788
558	97167	76656
559	97363	76499
560	97540	76328
561	97713	76154
562	97898	75988
563	98029	75781
564	98187	75595
565	98328	75396
566	98501	75222
567	98659	75036
568	98827	74858
569	98993	74679
570	99155	74496
571	99315	74313
572	99456	74114
573	99635	73945
574	99817	73778
575	99984	73599
576	100133	73408
577	100285	73218
578	100459	73045
579	100609	72854
580	100790	72687
581	100968	72516
582	101116	72324
583	101293	72153
584	101448	71967
585	101606	71783
586	101774	71605
587	101952	71436
588	102111	71252
589	102268	71067
590	102440	70893
591	102599	70710
592	102764	70531
593	102921	70347
594	103105	70180
595	103257	69993
596	103436	69824
597	103596	69641
598	103755	69459
599	103904	69269
600	104054	69081
601	104222	68904
602	104395	68731
603	104570	68559
604	104677	68343
605	104826	68154
606	104974	67965
607	105156	67798
608	105318	67618
609	105484	67441
610	105696	67292
611	105897	67137
612	106085	66973
613	106297	66825
614	106516	66680
615	106717	66525
616	106922	66371
617	107099	66200
618	107261	66020
619	107429	65843
620	107603	65671
621	107752	65483
622	107876	65280
623	108015	65086
624	108179	64907
625	108343	64729
626	108508	64551
627	108695	64386
628	108863	64210
629	109037	64037
630	109187	63851
631	109368	63683
632	109527	63501
633	109697	63326
634	109838	63135
635	110000	62956
636	110165	62778
637	110346	62610
638	110520	62437
639	110702	62270
640	110884	62102
641	111044	61922
642	111229	61755
643	111401	61582
644	111556	61399
645	111695	61207
646	111863	61032
647	112037	60859
648	112218	60691
649	112392	60519
650	112537	60330
651	112703	60154
652	112853	59969
653	113025	59796
654	113169	59608
655	113305	59416
656	113459	59233
657	113617	59053
658	113798	58885
659	113982	58718
660	114144	58540
661	114288	58352
662	114459	58179
663	114637	58009
664	114815	57839
665	114963	57654
666	115139	57483
667	115287	57298
668	115460	57126
669	115690	56981
670	115889	56822
671	116080	56658
672	116325	56520
673	116561	56378
674	116779	56227
675	116996	56075
676	117203	55918
677	117395	55754
678	117572	55582
679	117737	55406
680	117892	55224
681	118070	55053
682	118240	54878
683	118405	54702
684	118588	54533
685	118774	54366
686	118925	54182
687	119103	54012
688	119277	53839
689	119433	53658
690	119596	53480
691	119776	53310
692	119944	53135
693	120142	52973
694	120325	52804
695	120497	52631
696	120658	52452
697	120822	52275
698	120980	52096
699	121130	51913
700	121282	51731
701	121458	51559
702	121620	51381
703	121794	51209
704	121965	51035
705	122106	50848
706	122261	50668
707	122446	50500
708	122625	50330
709	122802	50158
710	122981	49988
711	123126	49803
712	123277	49622
713	123444	49446
714	123624	49276
715	123774	49094
716	123920	48911
717	124094	48739
718	124283	48572
719	124461	48401
720	124621	48223
721	124794	48051
722	124970	47879
723	125132	47702
724	125307	47530
725	125503	47366
726	125724	47211
727	125913	47044
728	126111	46880
729	126271	46703
730	126484	46544
731	126714	46392
732	126908	46227
733	127128	46071
734	127339	45911
735	127487	45729
736	127682	45563
737	127863	45393
738	128043	45222
739	128200	45043
740	128358	44864
741	128520	44687
742	128710	44520
743	128862	44339
744	129035	44166
745	129215	43995
746	129376	43818
747	129530	43638
748	129703	43465
749	129860	43286
750	130021	43109
751	130131	42915
752	130303	42742
753	130479	42570
754	130661	42400
755	130828	42225
756	130941	42032
757	131085	41850
758	131268	41680
759	131455	41512
760	131644	41344
761	131810	41169
762	131983	40996
763	132160	40824
764	132320	40647
765	132498	40475
766	132643	40294
767	132814	40121
768	132982	39946
769	133144	39770
770	133317	39597
771	133478	39421
772	133607	39235
773	133795	39066
774	133980	38897
775	134150	38723
776	134310	38547
777	134492	38376
778	134677	38207
779	134824	38027
780	134996	37854
781	135121	37668
782	135302	37497
783	135492	37329
784	135698	37165
785	135902	37001
786	136096	36834
787	136323	36675
788	136532	36512
789	136752	36351
790	136982	36193
791	137204	36033
792	137408	35868
793	137593	35697
794	137789	35530
795	137987	35363
796	138156	35189
797	138346	35019
798	138532	34849
799	138726	34681
800	138917	34512
801	139123	34347
802	139320	34179
803	139526	34013
804	139697	33839
805	139895	33672
806	140099	33505
807	140306	33340
808	140490	33169
809	140677	32998
810	140874	32830
811	141078	32663
812	141265	32492
813	141478	32328
814	141675	32159
815	141870	31990
816	142049	31817
817	142226	31644
818	142424	31476
819	142635	31310
820	142833	31141
821	143039	30974
822	143214	30800
823	143415	30632
824	143580	30456
825	143790	30290
826	143977	30118
827	144186	29951
828	144345	29774
829	144514	29599
830	144705	29428
831	144912	29261
832	145097	29089
833	145239	28908
834	145446	28740
835	145659	28574
836	145874	28408
837	146063	28236
838	146364	28086
839	146533	27911
840	146742	27743
841	146957	27576
842	147116	27398
843	147309	27227
844	147493	27054
845	147645	26876
846	147823	26702
847	147978	26524
848	148151	26349
849	148320	26174
850	148507	26001
851	148669	25825
852	148827	25647
853	149024	25477
854	149207	25304
855	149411	25134
856	149597	24962
857	149760	24785
858	149934	24610
859	150107	24436
860	150264	24258
861	150430	24082
862	150611	23909
863	150758	23730
864	150936	23556
865	151107	23381
866	151289	23208
867	151467	23034
868	151646	22860
869	151824	22686
870	151994	22511
871	152178	22338
872	152354	22163
873	152523	21988
874	152686	21812
875	152830	21633
876	152962	21453
877	153121	21276
878	153280	21100
879	153450	20925
880	153596	20746
881	153754	20570
882	153907	20393
883	154069	20217
884	154211	20038
885	154379	19863
886	154539	19687
887	154724	19514
888	154893	19339
889	155077	19166
890	155203	18986
891	155406	18816
892	155580	18641
893	155794	18472
894	156034	18305
895	156259	18137
896	156446	17964
897	156643	17792
898	156818	17618
899	157001	17444
900	157180	17270
901	157365	17097
902	157521	16920
903	157681	16744
904	157829	16567
905	157983	16391
906	158125	16213
907	158288	16038
908	158440	15861
909	158592	15684
910	158778	15511
911	158934	15335
912	159101	15160
913	159253	14984
914	159443	14811
915	159604	14636
916	159783	14462
917	159937	14286
918	160097	14110
919	160273	13936
920	160441	13762
921	160599	13586
922	160748	13410
923	160913	13235
924	161081	13060
925	161236	12884
926	161418	12711
927	161582	12536
928	161745	12361
929	161892	12185
930	162048	12010
931	162225	11836
932	162386	11661
933	162541	11485
934	162720	11312
935	162923	11140
936	163118	10967
937	163294	10793
938	163465	10619
939	163609	10443
940	163760	10267
941	163935	10093
942	164091	9918
943	164254	9743
944	164367	9566
945	164534	9392
946	164710	9218
947	164846	9042
948	165016	8868
949	165192	8694
950	165399	8522
951	165600	8349
952	165800	8176
953	166005	8004
954	166217	7832
955	166414	7659
956	166593	7485
957	166746	7310
958	166887	7134
959	167088	6962
960	167262	6787
961	167449	6614
962	167623	6440
963	167771	6265
964	167938	6091
965	168123	5917
966	168299	5743
967	168465	5569
968	168639	5395
969	168813	5221
970	168958	5046
971	169105	4871
972	169258	4696
973	169446	4523
974	169614	4349
975	169778	4174
976	169930	4000
977	170077	3825
978	170239	3651
979	170405	3477
980	170573	3303
981	170746	3129
982	170897	2955
983	171075	2781
984	171215	2607
985	171374	2433
986	171542	2259
987	171724	2085
988	171878	1911
989	172022	1737
990	172162	1563
991	172316	1389
992	172495	1215
993	172658	1042
994	172809	868
995	172973	694
996	173153	521
997	173314	347
998	173484	173
999	173635	0
